pantone_name;rgb_r;rgb_g;rgb_b;rgb;hex;cmyk_c;cmyk_m;cmyk_y;cmyk_k
171;255;120;82;255,120,82;#FF7852;0;53;68;0
172;255;87;31;255,87,31;#FF571F;0;66;88;0
173;245;76;0;245,76,0;#F54C00;0;69;100;4
174;163;49;0;163,49,0;#A33100;0;70;100;36
175;102;36;0;102,36,0;#662400;0;65;100;60
176;255;191;209;255,191,209;#FFBFD1;0;25;18;0
1765;255;158;201;255,158,201;#FF9EC9;0;38;21;0
1767;255;186;224;255,186,224;#FFBAE0;0;27;12;0
177;255;140;153;255,140,153;#FF8C99;0;45;40;0
1775;255;135;181;255,135,181;#FF87B5;0;47;29;0
1777;255;107;163;255,107,163;#FF6BA3;0;58;36;0
178;255;105;112;255,105,112;#FF6970;0;59;56;0
Warm Red;255;64;26;255,64,26;#FF401A;0;75;90;0
1785;255;84;128;255,84,128;#FF5480;0;67;50;0
1787;255;61;102;255,61,102;#FF3D66;0;76;60;0
Red 032;255;26;36;255,26,36;#FF1A24;0;90;86;0
1788;255;41;31;255,41,31;#FF291F;0;84;88;0
179;255;54;0;255,54,0;#FF3600;0;79;100;0
1795;255;15;0;255,15,0;#FF0F00;0;94;100;0
1797;245;0;2;245,0,2;#F50002;0;100;99;4
180;227;48;0;227,48,0;#E33000;0;79;100;11
1805;196;18;0;196,18,0;#C41200;0;91;100;23
1807;184;0;7;184,0,7;#B80007;0;100;96;28
181;135;35;0;135,35,0;#872300;0;74;100;47
1815;125;12;0;125,12,0;#7D0C00;0;90;100;51
1817;87;9;0;87,9,0;#570900;0;90;100;66
182;255;189;230;255,189,230;#FFBDE6;0;26;10;0
183;255;138;201;255,138,201;#FF8AC9;0;46;21;0
184;255;82;150;255,82,150;#FF5296;0;68;41;0
185;255;23;61;255,23,61;#FF173D;0;91;76;0
186;245;0;47;245,0,47;#F5002F;0;100;81;4
187;204;0;43;204,0,43;#CC002B;0;100;79;20
188;128;4;0;128,4,0;#800400;0;97;100;50
189;255;161;230;255,161,230;#FFA1E6;0;37;10;0
1895;255;184;237;255,184,237;#FFB8ED;0;28;7;0
190;255;115;199;255,115,199;#FF73C7;0;55;22;0
1905;255;150;232;255,150,232;#FF96E8;0;41;9;0
191;255;61;158;255,61,158;#FF3D9E;0;76;38;0
1915;255;74;204;255,74,204;#FF4ACC;0;71;20;0
192;255;0;82;255,0,82;#FF0052;0;100;68;0
1925;255;0;115;255,0,115;#FF0073;0;100;55;0
193;222;0;75;222,0,75;#DE004B;0;100;66;13
1935;242;0;104;242,0,104;#F20068;0;100;57;5
194;171;0;62;171,0,62;#AB003E;0;100;64;33
1945;207;0;91;207,0,91;#CF005B;0;100;56;19
195;115;0;46;115,0,46;#73002E;0;100;60;55
1955;161;0;64;161,0,64;#A10040;0;100;60;37
196;255;191;245;255,191,245;#FFBFF5;0;25;4;0
197;255;140;230;255,140,230;#FF8CE6;0;45;10;0
198;255;56;171;255,56,171;#FF38AB;0;78;33;0
199;255;0;97;255,0,97;#FF0061;0;100;62;0
200;224;0;83;224,0,83;#E00053;0;100;63;12
201;181;0;67;181,0,67;#B50043;0;100;63;29
202;145;0;57;145,0,57;#910039;0;100;61;43
203;255;168;247;255,168,247;#FFA8F7;0;34;3;0
204;255;107;247;255,107,247;#FF6BF7;0;58;3;0
205;255;41;232;255,41,232;#FF29E8;0;84;9;0
206;247;0;153;247,0,153;#F70099;0;100;38;3
207;207;0;118;207,0,118;#CF0076;0;100;43;19
208;161;0;103;161,0,103;#A10067;0;100;36;37
209;120;0;79;120,0,79;#78004F;0;100;34;53
210;255;156;240;255,156,240;#FF9CF0;0;39;6;0
211;255;115;235;255,115,235;#FF73EB;0;55;8;0
212;255;71;227;255,71,227;#FF47E3;0;72;11;0
213;255;13;186;255,13,186;#FF0DBA;0;95;27;0
214;235;0;155;235,0,155;#EB009B;0;100;34;8
215;186;0;121;186,0,121;#BA0079;0;100;35;27
216;130;7;78;130,7,78;#82074E;0;95;40;49
217;255;184;255;255,184,255;#FFB8FF;0;28;0;0
218;250;99;255;250,99,255;#FA63FF;2;61;0;0
219;252;31;255;252,31,255;#FC1FFF;1;88;0;0
Rubine Red;245;0;208;245,0,208;#F500D0;0;100;15;4
220;212;0;184;212,0,184;#D400B8;0;100;13;17
221;179;0;152;179,0,152;#B30098;0;100;15;30
222;105;0;94;105,0,94;#69005E;0;100;10;59
223;255;138;255;255,138,255;#FF8AFF;0;46;0;0
224;252;94;255;252,94,255;#FC5EFF;1;63;0;0
225;252;43;255;252,43,255;#FC2BFF;1;83;0;0
226;255;0;255;255,0,255;#FF00FF;0;100;0;0
227;207;0;192;207,0,192;#CF00C0;0;100;7;19
228;150;0;144;150,0,144;#960090;0;100;4;41
229;102;0;87;102,0,87;#660057;0;100;15;60
230;255;168;255;255,168,255;#FFA8FF;0;34;0;0
231;252;122;255;252,122,255;#FC7AFF;1;52;0;0
232;247;84;255;247,84,255;#F754FF;3;67;0;0
Rhodamine Red;247;28;255;247,28,255;#F71CFF;3;89;0;0
233;227;0;255;227,0,255;#E300FF;11;100;0;0
234;177;0;189;177,0,189;#B100BD;6;100;0;26
235;145;0;153;145,0,153;#910099;5;100;0;40
236;252;179;255;252,179,255;#FCB3FF;1;30;0;0
2365;250;186;255;250,186,255;#FABAFF;2;27;0;0
237;247;130;255;247,130,255;#F782FF;3;49;0;0
2375;230;110;255;230,110,255;#E66EFF;10;57;0;0
238;240;94;255;240,94,255;#F05EFF;6;63;0;0
2385;207;54;255;207,54,255;#CF36FF;19;79;0;0
239;227;54;255;227,54,255;#E336FF;11;79;0;0
2395;186;13;255;186,13,255;#BA0DFF;27;95;0;0
240;209;15;255;209,15,255;#D10FFF;18;94;0;0
2405;168;0;255;168,0,255;#A800FF;34;100;0;0
241;182;0;250;182,0,250;#B600FA;27;100;0;2
2415;157;0;235;157,0,235;#9D00EB;33;100;0;8
242;117;0;130;117,0,130;#750082;10;100;0;49
2425;119;0;189;119,0,189;#7700BD;37;100;0;26
243;242;181;255;242,181,255;#F2B5FF;5;29;0;0
244;232;158;255;232,158,255;#E89EFF;9;38;0;0
245;219;120;255;219,120,255;#DB78FF;14;53;0;0
246;181;26;255;181,26,255;#B51AFF;29;90;0;0
247;163;0;255;163,0,255;#A300FF;36;100;0;0
248;150;0;250;150,0,250;#9600FA;40;100;0;2
249;110;0;184;110,0,184;#6E00B8;40;100;0;28
250;242;209;255;242,209,255;#F2D1FF;5;18;0;0
251;222;156;255;222,156,255;#DE9CFF;13;39;0;0
252;194;112;255;194,112,255;#C270FF;24;56;0;0
Purple;158;31;255;158,31,255;#9E1FFF;38;88;0;0
253;145;13;255;145,13,255;#910DFF;43;95;0;0
254;128;0;255;128,0,255;#8000FF;50;100;0;0
255;94;0;191;94,0,191;#5E00BF;51;100;0;25
256;237;204;255;237,204,255;#EDCCFF;7;20;0;0
2562;207;166;255;207,166,255;#CFA6FF;19;35;0;0
2563;199;171;255;199,171,255;#C7ABFF;22;33;0;0
2567;181;163;255;181,163,255;#B5A3FF;29;36;0;0
257;219;168;255;219,168,255;#DBA8FF;14;34;0;0
2572;179;135;255;179,135,255;#B387FF;30;47;0;0
2573;179;145;255;179,145,255;#B391FF;30;43;0;0
2577;153;140;255;153,140,255;#998CFF;40;45;0;0
258;145;61;255;145,61,255;#913DFF;43;76;0;0
2582;138;71;255;138,71,255;#8A47FF;46;72;0;0
2583;138;94;255;138,94,255;#8A5EFF;46;63;0;0
2587;105;87;255;105,87,255;#6957FF;59;66;0;0
259;95;0;217;95,0,217;#5F00D9;56;100;0;15
2592;102;26;255;102,26,255;#661AFF;60;90;0;0
2593;99;28;255;99,28,255;#631CFF;61;89;0;0
2597;38;0;255;38,0,255;#2600FF;85;100;0;0
260;91;0;189;91,0,189;#5B00BD;52;100;0;26
2602;92;0;247;92,0,247;#5C00F7;63;100;0;3
2603;77;0;250;77,0,250;#4D00FA;69;100;0;2
2607;45;0;237;45,0,237;#2D00ED;81;100;0;7
261;80;0;153;80,0,153;#500099;48;100;0;40
2612;79;0;219;79,0,219;#4F00DB;64;100;0;14
2613;80;0;217;80,0,217;#5000D9;63;100;0;15
2617;46;0;217;46,0,217;#2E00D9;79;100;0;15
262;63;0;115;63,0,115;#3F0073;45;100;0;55
2622;60;0;143;60,0,143;#3C008F;58;100;0;44
2623;71;0;173;71,0,173;#4700AD;59;100;0;32
