pantone_name;rgb_r;rgb_g;rgb_b;rgb;hex;cmyk_c;cmyk_m;cmyk_y;cmyk_k
396;227;255;15;227,255,15;#E3FF0F;11;0;94;0
3965;235;255;0;235,255,0;#EBFF00;8;0;100;0
397;204;227;0;204,227,0;#CCE300;10;0;100;11
3975;181;181;0;181,181,0;#B5B500;0;0;100;29
398;171;184;0;171,184,0;#ABB800;7;0;100;28
3985;150;146;0;150,146,0;#969200;0;3;100;41
399;145;145;0;145,145,0;#919100;0;0;100;43
3995;92;89;0;92,89,0;#5C5900;0;3;100;64
400;214;208;201;214,208,201;#D6D0C9;0;3;6;16
401;196;187;175;196,187,175;#C4BBAF;0;5;11;23
402;176;165;151;176,165,151;#B0A597;0;6;14;31
403;145;135;121;145,135,121;#918779;0;7;17;43
404;112;103;88;112,103,88;#706758;0;8;22;56
405;71;64;48;71,64,48;#474030;0;10;33;72
Black;5;4;3;5,4,3;#050403;0;13;49;98
406;214;203;201;214,203,201;#D6CBC9;0;5;6;16
407;189;174;172;189,174,172;#BDAEAC;0;8;9;26
408;168;151;150;168,151,150;#A89796;0;10;11;34
409;140;122;119;140,122,119;#8C7A77;0;13;15;45
410;112;92;89;112,92,89;#705C59;0;18;21;56
411;71;52;46;71,52,46;#47342E;0;27;36;72
412;5;4;2;5,4,2;#050402;0;30;66;98
413;204;204;186;204,204,186;#CCCCBA;0;0;9;20
414;179;179;161;179,179,161;#B3B3A1;0;0;10;30
415;150;150;132;150,150,132;#969684;0;0;12;41
416;128;128;107;128,128,107;#80806B;0;0;16;50
417;88;89;67;88,89,67;#585943;1;0;25;65
418;62;64;44;62,64,44;#3E402C;3;0;31;75
419;0;0;0;0,0,0;#000000;29;0;36;100
420;217;217;217;217,217,217;#D9D9D9;0;0;0;15
421;189;189;189;189,189,189;#BDBDBD;0;0;0;26
422;171;171;171;171,171,171;#ABABAB;0;0;0;33
423;143;143;143;143,143,143;#8F8F8F;0;0;0;44
424;99;99;99;99,99,99;#636363;0;0;0;61
425;59;59;59;59,59,59;#3B3B3B;0;0;0;77
426;0;0;0;0,0,0;#000000;0;0;0;100
427;227;227;227;227,227,227;#E3E3E3;0;0;0;11
428;205;209;209;205,209,209;#CDD1D1;2;0;0;18
429;168;173;173;168,173,173;#A8ADAD;3;0;0;32
430;133;140;140;133,140,140;#858C8C;5;0;0;45
431;82;91;92;82,91,92;#525B5C;11;1;0;64
432;45;57;59;45,57,59;#2D393B;23;2;0;77
433;9;12;13;9,12,13;#090C0D;33;3;0;95
434;237;230;232;237,230,232;#EDE6E8;7;10;9;0
435;222;214;219;222,214,219;#DED6DB;13;16;14;0
436;194;191;191;194,191,191;#C2BFBF;24;25;25;0
437;138;140;138;138,140,138;#8A8C8A;46;45;46;0
438;57;69;0;57,69,0;#394500;75;70;100;10
439;41;51;0;41,51,0;#293300;80;75;100;20
440;32;39;0;32,39,0;#202700;82;78;100;30
441;218;232;216;218,232,216;#DAE8D8;6;0;7;9
442;190;207;188;190,207,188;#BECFBC;8;0;9;19
443;157;179;157;157,179,157;#9DB39D;12;0;12;30
444;126;148;126;126,148,126;#7E947E;15;0;15;42
445;71;89;71;71,89,71;#475947;20;0;20;65
446;50;64;49;50,64,49;#324031;21;0;23;75
447;39;46;32;39,46,32;#272E20;16;0;31;82
Warm Gray 1;240;235;233;240,235,233;#F0EBE9;0;2;3;6
Warm Gray 2;232;227;220;232,227,220;#E8E3DC;0;2;5;9
Warm Gray 3;212;203;195;212,203,195;#D4CBC3;0;4;8;17
Warm Gray 4;194;186;176;194,186,176;#C2BAB0;0;4;9;24
Warm Gray 5;181;172;163;181,172,163;#B5ACA3;0;5;10;29
Warm Gray 6;176;165;155;176,165,155;#B0A59B;0;6;12;31
Warm Gray 7;158;145;136;158,145,136;#9E9188;0;8;14;38
Warm Gray 8;145;132;122;145,132,122;#91847A;0;9;16;43
Warm Gray 9;135;120;108;135,120,108;#87786C;0;11;20;47
Warm Gray 10;115;99;83;115,99,83;#736353;0;14;28;55
Warm Gray 11;97;80;64;97,80,64;#615040;0;17;34;62
Cool Gray 1;240;240;240;240,240,240;#F0F0F0;0;0;0;6
Cool Gray 2;227;227;227;227,227,227;#E3E3E3;0;0;0;11
Cool Gray 3;209;209;209;209,209,209;#D1D1D1;0;0;0;18
Cool Gray 4;186;186;186;186,186,186;#BABABA;0;0;0;27
Cool Gray 5;168;168;168;168,168,168;#A8A8A8;0;0;0;34
Cool Gray 6;158;158;158;158,158,158;#9E9E9E;0;0;0;38
Cool Gray 7;135;135;135;135,135,135;#878787;0;0;0;47
Cool Gray 8;112;112;112;112,112,112;#707070;0;0;0;56
Cool Gray 9;89;89;89;89,89,89;#595959;0;0;0;65
Cool Gray 10;71;71;71;71,71,71;#474747;0;0;0;72
Cool Gray 11;54;54;54;54,54,54;#363636;0;0;0;79
448;45;62;0;45,62,0;#2D3E00;75;65;100;30
4485;79;58;0;79,58,0;#4F3A00;0;26;100;69
449;61;82;0;61,82,0;#3D5200;70;60;100;20
4495;138;110;7;138,110,7;#8A6E07;0;20;95;46
450;80;103;0;80,103,0;#506700;65;55;100;10
4505;163;139;36;163,139,36;#A38B24;0;15;78;36
451;171;181;115;171,181,115;#ABB573;33;29;55;0
4515;194;176;97;194,176,97;#C2B061;0;9;50;24
452;194;207;156;194,207,156;#C2CF9C;24;19;39;0
4525;212;197;129;212,197,129;#D4C581;0;7;39;17
453;219;227;191;219,227,191;#DBE3BF;14;11;25;0
4535;227;218;159;227,218,159;#E3DA9F;0;4;30;11
454;232;237;214;232,237,214;#E8EDD6;9;7;16;0
4545;240;233;194;240,233,194;#F0E9C2;0;3;19;6
455;89;74;0;89,74,0;#594A00;0;17;100;65
456;145;124;0;145,124,0;#917C00;0;15;100;43
457;184;156;0;184,156,0;#B89C00;0;15;100;28
458;230;230;69;230,230,69;#E6E645;10;10;73;0
459;240;237;115;240,237,115;#F0ED73;6;7;55;0
460;245;242;143;245,242,143;#F5F28F;4;5;44;0
461;247;247;166;247,247,166;#F7F7A6;3;3;35;0
462;64;38;0;64,38,0;#402600;50;70;100;50
4625;54;21;0;54,21,0;#361500;0;60;100;79
463;107;61;0;107,61,0;#6B3D00;30;60;100;40
4635;143;74;6;143,74,6;#8F4A06;0;48;96;44
464;149;83;0;149,83,0;#955300;10;50;100;35
4645;184;116;59;184,116,59;#B8743B;0;37;68;28
465;204;173;107;204,173,107;#CCAD6B;20;32;58;0
4655;209;155;115;209,155,115;#D19B73;0;26;45;18
466;224;199;145;224,199,145;#E0C791;12;22;43;0
4665;230;188;156;230,188,156;#E6BC9C;0;18;32;10
467;232;217;168;232,217,168;#E8D9A8;9;15;34;0
4675;240;213;189;240,213,189;#F0D5BD;0;11;21;6
468;240;232;196;240,232,196;#F0E8C4;6;9;23;0
4685;245;228;211;245,228,211;#F5E4D3;0;7;14;4
469;74;26;0;74,26,0;#4A1A00;0;65;100;71
4695;66;13;0;66,13,0;#420D00;0;81;100;74
470;171;72;0;171,72,0;#AB4800;0;58;100;33
4705;130;49;38;130,49,38;#823126;0;62;71;49
471;209;86;0;209,86,0;#D15600;0;59;100;18
4715;168;98;93;168,98,93;#A8625D;0;42;45;34
472;255;168;122;255,168,122;#FFA87A;0;34;52;0
4725;191;130;124;191,130,124;#BF827C;0;32;35;25
473;255;196;163;255,196,163;#FFC4A3;0;23;36;0
4735;217;169;167;217,169,167;#D9A9A7;0;22;23;15
474;255;217;189;255,217,189;#FFD9BD;0;15;26;0
4745;230;190;188;230,190,188;#E6BEBC;0;17;18;10
475;255;227;204;255,227,204;#FFE3CC;0;11;20;0
4755;240;216;211;240,216,211;#F0D8D3;0;10;12;6
476;56;28;0;56,28,0;#381C00;60;80;100;45
477;79;24;0;79,24,0;#4F1800;50;85;100;38
478;107;18;0;107,18,0;#6B1200;40;90;100;30
479;176;133;115;176,133,115;#B08573;31;48;55;0
480;217;181;176;217,181,176;#D9B5B0;15;29;31;0
481;232;207;201;232,207,201;#E8CFC9;9;19;21;0
482;242;224;222;242,224,222;#F2E0DE;5;12;13;0
483;102;7;0;102,7,0;#660700;0;93;100;60
484;181;9;0;181,9,0;#B50900;0;95;100;29
485;255;13;0;255,13,0;#FF0D00;0;95;100;0
486;255;135;150;255,135,150;#FF8796;0;47;41;0
487;255;166;184;255,166,184;#FFA6B8;0;35;28;0
488;255;189;207;255,189,207;#FFBDCF;0;26;19;0
489;255;217;227;255,217,227;#FFD9E3;0;15;11;0
490;71;19;0;71,19,0;#471300;0;74;100;72
491;122;26;0;122,26,0;#7A1A00;0;79;100;52
492;148;34;0;148,34,0;#942200;0;77;100;42
493;242;131;187;242,131,187;#F283BB;0;46;23;5
494;255;171;222;255,171,222;#FFABDE;0;33;13;0
495;255;194;227;255,194,227;#FFC2E3;0;24;11;0
496;255;214;232;255,214,232;#FFD6E8;0;16;9;0
497;56;17;0;56,17,0;#381100;0;70;100;78
4975;51;14;0;51,14,0;#330E00;0;73;100;80
498;102;37;0;102,37,0;#662500;0;64;100;60
4985;133;50;65;133,50,65;#853241;0;62;51;48
499;133;49;0;133,49,0;#853100;0;63;100;48
4995;168;88;104;168,88,104;#A85868;0;48;38;34
500;227;141;179;227,141,179;#E38DB3;0;38;21;11
5005;196;122;143;196,122,143;#C47A8F;0;38;27;23
501;247;181;215;247,181,215;#F7B5D7;0;27;13;3
5015;227;170;193;227,170,193;#E3AAC1;0;25;15;11
502;252;207;227;252,207,227;#FCCFE3;0;18;10;1
5025;237;194;209;237,194,209;#EDC2D1;0;18;12;7
503;255;227;235;255,227,235;#FFE3EB;0;11;8;0
5035;247;223;225;247,223,225;#F7DFE1;0;10;9;3
504;50;0;0;50,0,0;#320000;70;100;100;35
505;96;0;0;96,0,0;#600000;50;100;100;25
506;119;0;0;119,0,0;#770000;45;100;100;15
507;222;130;196;222,130,196;#DE82C4;13;49;23;0
508;242;163;227;242,163,227;#F2A3E3;5;36;11;0
509;255;194;237;255,194,237;#FFC2ED;0;24;7;0
510;255;212;240;255,212,240;#FFD4F0;0;17;6;0
511;61;0;102;61,0,102;#3D0066;70;100;50;20
5115;43;0;65;43,0,65;#2B0041;80;100;70;15
512;97;0;206;97,0,206;#6100CE;60;100;15;5
5125;89;36;130;89,36,130;#592482;65;86;49;0
513;138;31;255;138,31,255;#8A1FFF;46;88;0;0
5135;130;87;184;130,87,184;#8257B8;49;66;28;0
514;217;128;255;217,128,255;#D980FF;15;50;0;0
5145;179;140;224;179,140,224;#B38CE0;30;45;12;0
515;237;158;255;237,158,255;#ED9EFF;7;38;0;0
5155;212;179;235;212,179,235;#D4B3EB;17;30;8;0
516;247;186;255;247,186,255;#F7BAFF;3;27;0;0
5165;232;207;242;232,207,242;#E8CFF2;9;19;5;0
517;255;209;255;255,209,255;#FFD1FF;0;18;0;0
5175;242;224;247;242,224,247;#F2E0F7;5;12;3;0
518;46;0;92;46,0,92;#2E005C;80;100;60;10
5185;28;0;34;28,0,34;#1C0022;88;100;85;10
519;68;0;157;68,0,157;#44009D;72;100;35;5
5195;61;12;78;61,12,78;#3D0C4E;75;95;68;5
520;92;0;224;92,0,224;#5C00E0;64;100;12;0
5205;122;94;133;122,94,133;#7A5E85;52;63;48;0
521;186;135;255;186,135,255;#BA87FF;27;47;0;0
5215;181;158;194;181,158,194;#B59EC2;29;38;24;0
522;212;161;255;212,161,255;#D4A1FF;17;37;0;0
5225;212;186;217;212,186,217;#D4BAD9;17;27;15;0
523;230;189;255;230,189,255;#E6BDFF;10;26;0;0
5235;230;212;230;230,212,230;#E6D4E6;10;17;10;0
524;240;217;255;240,217,255;#F0D9FF;6;15;0;0
5245;240;230;237;240,230,237;#F0E6ED;6;10;7;0
525;39;0;133;39,0,133;#270085;84;100;45;5
5255;13;11;77;13,11,77;#0D0B4D;83;85;0;70
526;59;0;237;59,0,237;#3B00ED;77;100;7;0
5265;32;37;138;32,37,138;#20258A;77;73;0;46
527;69;0;255;69,0,255;#4500FF;73;100;0;0
5275;56;72;168;56,72,168;#3848A8;67;57;0;34
528;150;115;255;150,115,255;#9673FF;41;55;0;0
5285;114;128;196;114,128,196;#7280C4;42;35;0;23
529;189;153;255;189,153,255;#BD99FF;26;40;0;0
5295;168;179;230;168,179,230;#A8B3E6;27;22;0;10
530;209;176;255;209,176,255;#D1B0FF;18;31;0;0
5305;199;206;237;199,206,237;#C7CEED;16;13;0;7
531;230;204;255;230,204,255;#E6CCFF;10;20;0;0
5315;228;228;242;228,228,242;#E4E4F2;6;6;0;5
532;0;25;63;0,25,63;#00193F;100;88;70;18
533;0;34;123;0,34,123;#00227B;100;85;46;11
534;0;44;170;0,44,170;#002CAA;100;82;30;5
535;148;179;237;148,179,237;#94B3ED;42;30;7;0
536;176;199;242;176,199,242;#B0C7F2;31;22;5;0
537;199;219;247;199,219,247;#C7DBF7;22;14;3;0
538;222;232;250;222,232,250;#DEE8FA;13;9;2;0
539;0;39;77;0,39,77;#00274D;100;49;0;70
5395;0;34;61;0,34,61;#00223D;100;44;0;76
540;0;52;115;0,52,115;#003473;100;55;0;55
5405;58;114;138;58,114,138;#3A728A;58;17;0;46
541;0;68;158;0,68,158;#00449E;100;57;0;38
5415;90;138;150;90,138,150;#5A8A96;40;8;0;41
542;94;193;247;94,193,247;#5EC1F7;62;22;0;3
5425;121;166;173;121,166,173;#79A6AD;30;4;0;32
543;150;227;255;150,227,255;#96E3FF;41;11;0;0
5435;184;205;212;184,205,212;#B8CDD4;13;3;0;17
544;179;240;255;179,240,255;#B3F0FF;30;6;0;0
5445;204;220;222;204,220,222;#CCDCDE;8;1;0;13
545;199;247;255;199,247,255;#C7F7FF;22;3;0;0
5455;218;232;232;218,232,232;#DAE8E8;6;0;0;9
546;2;39;43;2,39,43;#02272B;95;9;0;83
5463;0;43;36;0,43,36;#002B24;100;0;18;83
5467;0;13;9;0,13,9;#000D09;100;0;30;95
547;0;52;64;0,52,64;#003440;100;19;0;75
5473;22;122;88;22,122,88;#167A58;82;0;28;52
5477;29;66;48;29,66,48;#1D4230;56;0;27;74
548;0;70;92;0,70,92;#00465C;100;24;0;64
5483;67;176;139;67,176,139;#43B08B;62;0;21;31
5487;72;112;93;72,112,93;#48705D;36;0;17;56
549;86;173;186;86,173,186;#56ADBA;54;7;0;27
5493;115;201;173;115,201,173;#73C9AD;43;0;14;21
5497;130;158;144;130,158,144;#829E90;18;0;9;38
550;123;193;201;123,193,201;#7BC1C9;39;4;0;21
5503;156;219;197;156,219,197;#9CDBC5;29;0;10;14
5507;161;181;168;161,181,168;#A1B5A8;11;0;7;29
551;162;215;222;162,215,222;#A2D7DE;27;3;0;13
5513;199;242;225;199,242,225;#C7F2E1;18;0;7;5
5517;190;209;197;190,209,197;#BED1C5;9;0;6;18
552;197;232;232;197,232,232;#C5E8E8;15;0;0;9
5523;220;247;235;220,247,235;#DCF7EB;11;0;5;3
5527;213;227;218;213,227,218;#D5E3DA;6;0;4;11
553;20;51;25;20,51,25;#143319;60;0;51;80
5535;16;46;20;16,46,20;#102E14;66;0;57;82
554;17;84;34;17,84,34;#115422;80;0;60;67
5545;50;122;61;50,122,61;#327A3D;59;0;50;52
555;24;112;49;24,112,49;#187031;79;0;56;56
5555;90;158;104;90,158,104;#5A9E68;43;0;34;38
556;102;186;128;102,186,128;#66BA80;45;0;31;27
5565;132;189;143;132,189,143;#84BD8F;30;0;24;26
557;152;217;173;152,217,173;#98D9AD;30;0;20;15
5575;169;212;178;169,212,178;#A9D4B2;20;0;16;17
558;186;232;202;186,232,202;#BAE8CA;20;0;13;9
5585;202;230;204;202,230,204;#CAE6CC;12;0;11;10
559;206;240;216;206,240,216;#CEF0D8;14;0;10;6
5595;221;237;218;221,237,218;#DDEDDA;7;0;8;7
560;13;64;24;13,64,24;#0D4018;80;0;63;75
5605;5;15;7;5,15,7;#050F07;65;0;56;94
561;18;122;56;18,122,56;#127A38;85;0;54;52
5615;46;82;43;46,82,43;#2E522B;44;0;47;68
562;26;176;88;26,176,88;#1AB058;85;0;50;31
5625;90;125;87;90,125,87;#5A7D57;28;0;30;51
563;121;252;172;121,252,172;#79FCAC;52;0;32;1
5635;137;163;134;137,163,134;#89A386;16;0;18;36
564;161;255;204;161,255,204;#A1FFCC;37;0;20;0
5645;174;191;166;174,191,166;#AEBFA6;9;0;13;25
565;196;255;222;196,255,222;#C4FFDE;23;0;13;0
5655;197;209;190;197,209,190;#C5D1BE;6;0;9;18
566;219;255;232;219,255,232;#DBFFE8;14;0;9;0
5665;218;230;213;218,230,213;#DAE6D5;5;0;7;10
567;14;77;28;14,77,28;#0E4D1C;82;0;64;70
568;20;163;70;20,163,70;#14A346;88;0;57;36
569;4;212;91;4,212,91;#04D45B;98;0;57;17
570;133;255;181;133,255,181;#85FFB5;48;0;29;0
571;173;255;207;173,255,207;#ADFFCF;32;0;19;0
572;196;255;219;196,255,219;#C4FFDB;23;0;14;0
573;219;255;232;219,255,232;#DBFFE8;14;0;9;0
574;49;74;14;49,74,14;#314A0E;34;0;81;71
5743;31;46;7;31,46,7;#1F2E07;33;0;85;82
5747;36;54;0;36,54,0;#243600;32;0;100;79
575;62;120;0;62,120,0;#3E7800;48;0;100;53
5753;63;84;16;63,84,16;#3F5410;25;0;81;67
5757;84;115;6;84,115,6;#547306;27;0;95;55
576;79;156;0;79,156,0;#4F9C00;49;0;100;39
5763;92;110;29;92,110,29;#5C6E1D;16;0;74;57
5767;132;156;50;132,156,50;#849C32;15;0;68;39
577;174;230;124;174,230,124;#AEE67C;24;0;46;10
5773;144;158;90;144,158,90;#909E5A;9;0;43;38
5777;165;184;94;165,184,94;#A5B85E;10;0;49;28
578;192;240;144;192,240,144;#C0F090;20;0;40;6
5783;175;186;134;175,186,134;#AFBA86;6;0;28;27
5787;206;222;153;206,222,153;#CEDE99;7;0;31;13
579;205;247;163;205,247,163;#CDF7A3;17;0;34;3
5793;201;209;165;201,209,165;#C9D1A5;4;0;21;18
5797;220;232;176;220,232,176;#DCE8B0;5;0;24;9
580;220;250;185;220,250,185;#DCFAB9;12;0;26;2
5803;222;227;200;222,227,200;#DEE3C8;2;0;12;11
5807;233;240;206;233,240,206;#E9F0CE;3;0;14;6
581;70;71;0;70,71,0;#464700;2;0;100;72
5815;54;54;5;54,54,5;#363605;0;0;91;79
582;120;138;0;120,138,0;#788A00;13;0;100;46
5825;105;102;14;105,102,14;#69660E;0;2;87;59
583;163;212;0;163,212,0;#A3D400;23;0;100;17
5835;153;150;50;153,150,50;#999632;0;2;67;40
584;211;240;50;211,240,50;#D3F032;12;0;79;6
5845;179;177;95;179,177,95;#B3B15F;0;1;47;30
585;222;250;85;222,250,85;#DEFA55;11;0;66;2
5855;209;209;144;209,209,144;#D1D190;0;0;31;18
586;232;255;120;232,255,120;#E8FF78;9;0;53;0
5865;222;222;166;222,222,166;#DEDEA6;0;0;25;13
587;242;255;153;242,255,153;#F2FF99;5;0;40;0
5875;235;235;192;235,235,192;#EBEBC0;0;0;18;8
600;255;255;181;255,255,181;#FFFFB5;0;0;29;0
601;255;255;153;255,255,153;#FFFF99;0;0;40;0
602;255;255;125;255,255,125;#FFFF7D;0;0;51;0
603;252;252;78;252,252,78;#FCFC4E;0;0;69;1
604;247;247;30;247,247,30;#F7F71E;0;0;88;3
605;237;232;0;237,232,0;#EDE800;0;2;100;7
606;224;215;0;224,215,0;#E0D700;0;4;100;12
607;252;252;207;252,252,207;#FCFCCF;0;0;18;1
608;250;250;170;250,250,170;#FAFAAA;0;0;32;2
609;245;245;132;245,245,132;#F5F584;0;0;46;4
610;240;240;101;240,240,101;#F0F065;0;0;58;6
611;227;225;18;227,225,18;#E3E112;0;1;92;11
612;204;200;0;204,200,0;#CCC800;0;2;100;20
613;179;171;0;179,171,0;#B3AB00;0;4;100;30
614;245;245;196;245,245,196;#F5F5C4;0;0;20;4
615;240;237;175;240,237,175;#F0EDAF;0;1;27;6
616;232;227;151;232,227,151;#E8E397;0;2;35;9
617;212;207;110;212,207,110;#D4CF6E;0;2;48;17
618;179;173;23;179,173,23;#B3AD17;0;3;87;30
619;145;140;0;145,140,0;#918C00;0;4;100;43
620;120;114;0;120,114,0;#787200;0;5;100;53
621;217;250;225;217,250,225;#D9FAE1;13;0;10;2
622;186;245;198;186,245,198;#BAF5C6;24;0;19;4
623;156;230;174;156,230,174;#9CE6AE;32;0;24;10
624;114;204;133;114,204,133;#72CC85;44;0;35;20
625;75;171;96;75,171,96;#4BAB60;56;0;44;33
626;23;94;34;23,94,34;#175E22;76;0;64;63
627;4;41;10;4,41,10;#04290A;90;0;76;84
628;207;255;240;207,255,240;#CFFFF0;19;0;6;0
629;168;255;232;168,255,232;#A8FFE8;34;0;9;0
630;135;255;227;135,255,227;#87FFE3;47;0;11;0
631;82;250;220;82,250,220;#52FADC;67;0;12;2
632;19;242;206;19,242,206;#13F2CE;92;0;15;5
633;0;191;172;0,191,172;#00BFAC;100;0;10;25
634;0;153;139;0,153,139;#00998B;100;0;9;40
635;173;255;235;173,255,235;#ADFFEB;32;0;8;0
636;140;255;232;140,255,232;#8CFFE8;45;0;9;0
637;115;255;232;115,255,232;#73FFE8;55;0;9;0
638;43;255;230;43,255,230;#2BFFE6;83;0;10;0
639;0;242;230;0,242,230;#00F2E6;100;0;5;5
640;0;199;199;0,199,199;#00C7C7;100;0;0;22
641;0;171;179;0,171,179;#00ABB3;100;4;0;30
642;210;240;250;210,240,250;#D2F0FA;16;4;0;2
643;184;228;245;184,228,245;#B8E4F5;25;7;0;4
644;139;204;240;139,204,240;#8BCCF0;42;15;0;6
645;100;167;232;100,167,232;#64A7E8;57;28;0;9
646;70;150;227;70,150,227;#4696E3;69;34;0;11
647;0;86;196;0,86,196;#0056C4;100;56;0;23
648;0;45;117;0,45,117;#002D75;100;62;0;54
649;217;237;252;217,237,252;#D9EDFC;14;6;0;1
650;190;227;250;190,227,250;#BEE3FA;24;9;0;2
651;149;197;240;149,197,240;#95C5F0;38;18;0;6
652;92;151;230;92,151,230;#5C97E6;60;34;0;10
653;0;78;204;0,78,204;#004ECC;100;62;0;20
654;0;57;158;0,57,158;#00399E;100;64;0;38
655;0;43;122;0,43,122;#002B7A;100;65;0;52
656;219;245;255;219,245,255;#DBF5FF;14;4;0;0
657;194;235;255;194,235,255;#C2EBFF;24;8;0;0
658;150;204;255;150,204,255;#96CCFF;41;20;0;0
659;92;166;255;92,166,255;#5CA6FF;64;35;0;0
660;26;110;255;26,110,255;#1A6EFF;90;57;0;0
661;0;72;232;0,72,232;#0048E8;100;69;0;9
662;0;59;209;0,59,209;#003BD1;100;72;0;18
663;237;240;255;237,240,255;#EDF0FF;7;6;0;0
664;227;232;255;227,232,255;#E3E8FF;11;9;0;0
665;200;207;250;200,207,250;#C8CFFA;20;17;0;2
666;164;166;237;164,166,237;#A4A6ED;31;30;0;7
667;105;112;219;105,112,219;#6970DB;52;49;0;14
668;62;64;179;62,64,179;#3E40B3;65;64;0;30
669;32;30;135;32,30,135;#201E87;76;78;0;47
670;255;222;255;255,222,255;#FFDEFF;0;13;0;0
671;252;204;255;252,204,255;#FCCCFF;1;20;0;0
672;247;168;255;247,168,255;#F7A8FF;3;34;0;0
673;240;130;255;240,130,255;#F082FF;6;49;0;0
674;232;84;255;232,84,255;#E854FF;9;67;0;0
675;205;0;247;205,0,247;#CD00F7;17;100;0;3
676;187;0;199;187,0,199;#BB00C7;6;100;0;22
677;250;222;255;250,222,255;#FADEFF;2;13;0;0
678;247;201;255;247,201,255;#F7C9FF;3;21;0;0
679;242;186;255;242,186,255;#F2BAFF;5;27;0;0
680;225;142;250;225,142,250;#E18EFA;10;43;0;2
681;193;95;245;193,95,245;#C15FF5;21;61;0;4
682;168;47;224;168,47,224;#A82FE0;25;79;0;12
683;129;0;145;129,0,145;#810091;11;100;0;43
684;250;207;250;250,207,250;#FACFFA;0;17;0;2
685;247;186;247;247,186,247;#F7BAF7;0;25;0;3
686;242;170;242;242,170,242;#F2AAF2;0;30;0;5
687;220;126;224;220,126,224;#DC7EE0;2;44;0;12
688;196;89;207;196,89,207;#C459CF;5;57;0;19
689;157;39;168;157,39,168;#9D27A8;7;77;0;34
690;105;3;105;105,3,105;#690369;0;97;0;59
691;252;215;232;252,215,232;#FCD7E8;0;15;8;1
692;250;192;225;250,192,225;#FAC0E1;0;23;10;2
693;240;168;211;240,168,211;#F0A8D3;0;30;12;6
694;230;131;186;230,131,186;#E683BA;0;43;19;10
695;191;80;138;191,80,138;#BF508A;0;58;28;25
696;153;24;70;153,24,70;#991846;0;84;54;40
697;125;9;37;125,9,37;#7D0925;0;93;70;51
698;255;214;235;255,214,235;#FFD6EB;0;16;8;0
699;255;194;230;255,194,230;#FFC2E6;0;24;10;0
700;255;163;219;255,163,219;#FFA3DB;0;36;14;0
701;255;120;204;255,120,204;#FF78CC;0;53;20;0
702;242;75;160;242,75,160;#F24BA0;0;69;34;5
703;214;36;99;214,36,99;#D62463;0;83;54;16
704;186;0;37;186,0,37;#BA0025;0;100;80;27
705;255;232;242;255,232,242;#FFE8F2;0;9;5;0
706;255;212;230;255,212,230;#FFD4E6;0;17;10;0
707;255;179;219;255,179,219;#FFB3DB;0;30;14;0
708;255;138;199;255,138,199;#FF8AC7;0;46;22;0
709;255;87;158;255,87,158;#FF579E;0;66;38;0
710;255;54;107;255,54,107;#FF366B;0;79;58;0
711;250;0;50;250,0,50;#FA0032;0;100;80;2
712;255;219;176;255,219,176;#FFDBB0;0;14;31;0
713;255;207;150;255,207,150;#FFCF96;0;19;41;0
714;255;184;117;255,184,117;#FFB875;0;28;54;0
715;255;161;74;255,161,74;#FFA14A;0;37;71;0
716;255;135;23;255,135,23;#FF8717;0;47;91;0
717;250;112;0;250,112,0;#FA7000;0;55;100;2
718;235;99;0;235,99,0;#EB6300;0;58;100;8
719;255;230;191;255,230,191;#FFE6BF;0;10;25;0
720;252;215;167;252,215,167;#FCD7A7;0;15;34;1
721;247;188;119;247,188,119;#F7BC77;0;24;52;3
722;232;149;56;232,149,56;#E89538;0;36;76;9
723;212;116;11;212,116,11;#D4740B;0;45;95;17
724;161;76;0;161,76,0;#A14C00;0;53;100;37
725;130;59;0;130,59,0;#823B00;0;55;100;49
726;250;230;192;250,230,192;#FAE6C0;0;8;23;2
727;242;206;160;242,206,160;#F2CEA0;0;15;34;5
728;230;181;119;230,181,119;#E6B577;0;21;48;10
729;209;144;82;209,144,82;#D19052;0;31;61;18
730;181;110;43;181,110,43;#B56E2B;0;39;76;29
731;117;55;0;117,55,0;#753700;0;53;100;54
732;92;40;0;92,40,0;#5C2800;0;56;100;64
7401;255;245;209;255,245,209;#FFF5D1;0;4;18;0
7402;255;240;179;255,240,179;#FFF0B3;0;6;30;0
7403;255;230;128;255,230,128;#FFE680;0;10;50;0
7404;255;232;51;255,232,51;#FFE833;0;9;80;0
7405;255;230;0;255,230,0;#FFE600;0;10;100;0
7406;255;209;0;255,209,0;#FFD100;0;18;100;0
7407;227;177;34;227,177,34;#E3B122;0;22;85;11
7408;255;191;13;255,191,13;#FFBF0D;0;25;95;0
7409;255;179;13;255,179,13;#FFB30D;0;30;95;0
7410;255;179;115;255,179,115;#FFB373;0;30;55;0
7411;255;166;79;255,166,79;#FFA64F;0;35;69;0
7412;237;138;0;237,138,0;#ED8A00;0;42;100;7
7413;245;115;0;245,115,0;#F57300;0;53;100;4
7414;227;123;0;227,123,0;#E37B00;0;46;100;11
7415;255;209;217;255,209,217;#FFD1D9;0;18;15;0
7416;255;102;102;255,102,102;#FF6666;0;60;60;0
7417;255;64;64;255,64,64;#FF4040;0;75;75;0
7418;242;73;97;242,73,97;#F24961;0;70;60;5
7419;209;84;115;209,84,115;#D15473;0;60;45;18
7420;204;41;118;204,41,118;#CC2976;0;80;42;20
